Team,Number,Player,Position,Height,Goals,Assists,Ds,Turnovers,Division
Revolver,0,Lior Givol,,"1'0""",1,0,1,1,Open
Revolver,1,Simon Higgins,Deep,,8,5,1,2,Open
Revolver,2,Kevin Cocks,Defense (Cutter),,3,1,0,0,Open
Revolver,3,George Stubbs,Defense (Cutter/Handler),,7,5,0,4,Open
Revolver,4,Joel Schlachet,Handler,,9,11,2,2,Open
Revolver,6,Julian Childs-Walker,,,3,0,1,0,Open
Revolver,7,Russell Wynne,Defense (Cutter),,3,1,2,1,Open
Revolver,8,John Stubbs,,"6'0""",0,10,1,0,Open
Revolver,9,Cassidy Rasmussen,Mid,,1,5,3,1,Open
Revolver,10,Grant Lindsley,Mid,,5,9,2,4,Open
Revolver,14,Kenneth Justin Lim,Handler,"5'10""",0,0,0,0,Open
Revolver,15,Michael Spear,Mid,"5'9""",1,1,2,2,Open
Revolver,17,Sawyer Thompson,Defense (Cutter),"6'4""",2,1,1,1,Open
Revolver,18,Gregory Cohen,Defense (Cutter),,1,3,2,2,Open
Revolver,22,Marcelo Sanchez,Deep,,4,3,0,2,Open
Revolver,23,Antoine Davis,Defense (Cutter),"6'2""",8,3,3,2,Open
Revolver,24,Elijah Kerns,Defense (Cutter),,5,4,0,3,Open
Revolver,25,Nick Stuart,,,0,1,1,0,Open
Revolver,26,Nathan White,Handler,,0,1,0,0,Open
Revolver,27,Ashlin Joye,,,4,6,2,6,Open
Revolver,29,Christian Johnson,Deep,"6'2""",3,1,0,2,Open
Revolver,32,Jordan Marcy,Defense (Handler),,3,4,0,2,Open
Revolver,33,Mark Lin,Mid,"6'0""",0,0,1,0,Open
Revolver,35,Lucas Dallmann,Defense (Cutter),,1,0,0,2,Open
Revolver,53,Eli Friedman,,"5'10""",4,3,0,4,Open
Revolver,88,Byron Liu,Defense (Cutter),"5'9""",2,0,2,0,Open
Revolver,93,Tom Doi,Mid,"5'10""",4,3,0,1,Open
Sockeye,0,Jacob Janin,,,8,8,0,2,Open
Sockeye,2,Brice Dixon,,,0,0,0,2,Open
Sockeye,3,Thomas Kulczak,Handler,"5'11""",2,1,0,1,Open
Sockeye,4,Zachary Goulson,,,3,0,0,0,Open
Sockeye,5,Simon Montague,,,4,11,0,6,Open
Sockeye,6,Philip Murray,Mid,"6'0""",2,5,3,2,Open
Sockeye,7,Zane Rankin,Defense (Cutter),"6'2""",0,1,3,1,Open
Sockeye,9,Sam Harkness,,,1,1,1,1,Open
Sockeye,10,Dongyang Chen,,,2,0,1,0,Open
Sockeye,11,Christian Foster,,,0,2,1,2,Open
Sockeye,14,Xander Cuizon Tice,,,3,1,1,1,Open
Sockeye,15,Derek Mourad,Dump,"5'2""",1,1,0,1,Open
Sockeye,16,Trent Dillon,Defense (Cutter/Handler),"5'11""",7,1,0,1,Open
Sockeye,19,Husayn Carnegie,Defense (Cutter),"6'0""",0,0,0,0,Open
Sockeye,22,Matt Russell,,,6,6,1,3,Open
Sockeye,23,Danny Karlinsky,Handler,"5'8""",2,1,0,0,Open
Sockeye,24,Joe Sefton,Handler,"5'5""",1,1,0,0,Open
Sockeye,25,Frank Devin Barich,,,1,2,5,2,Open
Sockeye,26,Cooper Schumacher,,"1'0""",0,0,0,0,Open
Sockeye,27,William Katz,,,1,2,3,0,Open
Sockeye,28,Duncan Linn,Deep,"6'1""",0,0,0,1,Open
Sockeye,31,Matthew Rehder,,,9,10,2,4,Open
Sockeye,34,John Randolph,Defense (Cutter),"6'0""",3,1,1,0,Open
Sockeye,55,Dylan Freechild,,,7,7,0,5,Open
Sockeye,70,Julian Hausman,,,0,0,0,0,Open
Sockeye,77,Ben Snell,,,0,4,0,3,Open
Sockeye,87,Chris Kosednar,,,3,2,0,2,Open
