No.,Player,Position,Height,Points,Assists,Ds,Turns,Team,Division,Year
0,Lior Givol,,'"1''0"""',4,,4,3,Revolver,Men,2018
1,Simon Higgins,Deep,,24,20,2,14,Revolver,Men,2018
3,Kevin Cocks,Defense (Cutter),,8,5,3,1,Revolver,Men,2018
3,George Stubbs,Defense (Cutter/Handler),,20,26,,17,Revolver,Men,2018
4,Joel Schlachet,Handler,,33,24,4,7,Revolver,Men,2018
6,Julian Childs-Walker,,,7,1,3,,Revolver,Men,2018
7,Russell Wynne,Defense (Cutter),,3,1,2,1,Revolver,Men,2018
8,John Stubbs,,'"6''0"""',12,16,4,11,Revolver,Men,2018
9,Cassidy Rasmussen,Mid,,5,11,9,6,Revolver,Men,2018
14,Kenneth Justin Lim,,'"5''10"""',9,4,1,4,Revolver,Men,2018
15,Michael Spear,Mid,'"5''9"""',1,6,3,3,Revolver,Men,2018
18,Gregory Cohen,Defense (Cutter),,4,5,6,2,Revolver,Men,2018
22,Marcelo Sanchez,Deep,,11,9,2,7,Revolver,Men,2018
23,Antoine Davis,,'"6''2"""',25,11,7,5,Revolver,Men,2018
24,Elijah Kerns,Defense (Cutter),,14,11,3,9,Revolver,Men,2018
25,Nick Stuart,,,3,3,3,6,Revolver,Men,2018
26,Grant Lindsley,Mid,,16,20,3,5,Revolver,Men,2018
26,Nathan White,Handler,,2,7,1,3,Revolver,Men,2018
27,Ashlin Joye,,,4,6,2,6,Revolver,Men,2018
29,Christian Johnson,Deep,'"6''2"""',6,2,3,2,Revolver,Men,2018
32,Jordan Marcy,Defense (Handler),,12,12,1,5,Revolver,Men,2018
33,Mark Lin,,'"6''0"""',2,2,2,1,Revolver,Men,2018
35,Lucas Dallmann,Defense (Cutter),,8,13,,2,Revolver,Men,2018
50,Sawyer Thompson,,'"6''4"""',7,2,2,3,Revolver,Men,2018
53,Eli Friedman,,'"5''10"""',9,24,1,9,Revolver,Men,2018
88,Byron Liu,Defense (Cutter),'"5''9"""',4,7,7,4,Revolver,Men,2018
93,Tom Doi,,'"5''10"""',4,3,,1,Revolver,Men,2018
,Chris Kocher,,,30,30,8,8,PoNY,Men,2018
0,Brendan Chin,Handler,'"4''5"""',,,,,PoNY,Men,2018
